,Synonym_1,Synonym_2,Weird_Category,Synonym_3,Synonym_4,Pos_Tags,Pos_And_Words
61,abdikering..1,abdikera..1,PRIM..1,abdikering..nn.1,abdikering,nn,nn_2u_mening
62,Abdirahman..1,förnamn..1,han..1,Abdirahman..pm.1,Abdirahman,pm,pm_mph_lars
63,abdomen..1,bakkropp..1,PRIM..1,abdomen..nn.1,abdomen,nn,nn_vv_abdomen
64,abdomen..2,buk..1,PRIM..1,abdomen..nn.1,abdomen,nn,nn_vv_abdomen
65,abdominal..1,abdomen..2,PRIM..1,abdominal..av.1,abdominal,av,av_0_medelstor
66,abducensnervsjukdom..1,nervsjukdom..1,PRIM..1,abducensnervsjukdom..nn.1,abducensnervsjukdom,nn,nn_2u_mening
67,abducensnervskada..1,nervskada..1,PRIM..1,abducensnervskada..nn.1,abducensnervskada,nn,nn_1u_olja
68,Abdullah..1,förnamn..1,han..1,Abdullah..pm.1,Abdullah,pm,pm_mph_lars
69,Abdullahi..1,förnamn..1,han..1,Abdullahi..pm.1,Abdullahi,pm,pm_mph_lars
70,Abel..1,förnamn..1,Bibeln..1 han..1,Abel..pm.1,Abel,pm,pm_mpm_oden
71,Abel..2,efternamn..1,matematiker..1 norsk..1,Abel..pm.2,Abel,pm,pm_hph_berg
72,Abélard..1,efternamn..1,filosof..1 fransk..1,Abelard..pm.1,Abelard,pm,pm_hph_berg
73,Abélard..1,efternamn..1,filosof..1 fransk..1,Abélard..pm.1,Abélard,pm,pm_hph_berg
74,aber..1,hinder..1,oväntad..1,aber..nn.1,aber,nn,nn_6n_aber
75,aberration..1,lins..1,PRIM..1,aberration..nn.1,aberration,nn,nn_3u_salong
76,Abessinien..1,Etiopien..1,PRIM..1,Abessinien..pm.1,Abessinien,pm,pm_nlp_sverige
77,abessinier..1,Abessinien..1,PRIM..1,abessinier..nn.1,abessinier,nn,nn_6u_akademiker
78,abessinsk..1,Abessinien..1,PRIM..1,abessinsk..av.1,abessinsk,av,av_1_gul
79,abessinska..1,abessinier..1,hon..1,abessinska..nn.1,abessinska,nn,nn_1u_olja
80,abessiv..1,kasus..1,PRIM..1,abessiv..nn.1,abessiv,nn,nn_3u_karbid
81,abetalipoproteinemi..1,ämnesomsättningsrubbning..1,PRIM..1,abetalipoproteinemi..nn.1,abetalipoproteinemi,nn,nn_0u_akribi
82,ABF..1,bildningsförbund..1,PRIM..1,ABF..pma.1,ABF,pma,pma_noe_gu
83,ABF..1,bildningsförbund..1,PRIM..1,Arbetarnas_bildningsförbund..pmm.1,Arbetarnas bildningsförbund,pmm,pmm_n0oe_göteborgs_universitet
84,Abigail..1,förnamn..1,hon..1,Abigail..pm.1,Abigail,pm,pm_fph_karin
85,abilitet..1,förmåga..1,PRIM..1,abilitet..nn.1,abilitet,nn,nn_3u_salong
86,abiturient..1,elev..1,avgångsklass..1,abiturient..nn.1,abiturient,nn,nn_3u_tid
87,abiturientexamen..1,studentexamen..1,PRIM..1,abiturientexamen..nn.1,abiturientexamen,nn,nn_ou_examen
88,ablation..1,erosion..1,PRIM..1,ablation..nn.1,ablation,nn,nn_3u_salong
89,ablativ..1,kasus..1,PRIM..1,ablativ..nn.1,ablativ,nn,nn_3u_karbid
90,ablativform..1,ablativ..1,PRIM..1,ablativform..nn.1,ablativform,nn,nn_3u_karbid
91,abnorm..1,onormal..1,PRIM..1,abnorm..av.1,abnorm,av,av_1_gul
92,abnormalitet..1,avvikelse..1,psykologisk..1,abnormalitet..nn.1,abnormalitet,nn,nn_3u_salong
93,abnormitet..1,abnorm..1,PRIM..1,abnormitet..nn.1,abnormitet,nn,nn_3u_salong
94,abolition..1,benådning..1,PRIM..1,abolition..nn.1,abolition,nn,nn_3u_salong
95,abolitionism..1,avskaffa..1,prostitution..1 slaveri..1,abolition..nn.1,abolition,nn,nn_3u_salong
96,abolitionist..1,abolitionism..1,PRIM..1,abolitionist..nn.1,abolitionist,nn,nn_3u_karbid
97,abolitionistisk..1,abolitionism..1,PRIM..1,abolitionistisk..av.1,abolitionistisk,av,av_0_medelstor
98,A-bomb..1,atombomb..1,PRIM..1,a-bomb..nn.1,a-bomb,nn,nn_3u_salong
99,A-bomb..1,atombomb..1,PRIM..1,A-bomb..nn.1,A-bomb,nn,nn_3u_salong
100,abominabel..1,avskyvärd..1,PRIM..1,abominabel..av.1,abominabel,av,av_1_enkel
101,abonnemang..1,abonnera..1,PRIM..1,abonnemang..nn.1,abonnemang,nn,nn_6n_departement
102,abonnemangspris..1,pris..1,abonnemang..1,abonnemangspris..nn.1,abonnemangspris,nn,nn_3u_karbid
103,abonnent..1,abonnera..1,PRIM..1,abonnent..nn.1,abonnent,nn,nn_3u_tid
104,abonnera..1,beställa..1,PRIM..1,abonnera..vb.1,abonnera,vb,vb_1a_beundra
105,abonnerande..1,abonnera..1,PRIM..1,abonnerande..nn.1,abonnerande,nn,nn_5n_saldo
106,abonnerbar..1,abonnera..1,möjlig..1,abonnerbar..av.1,abonnerbar,av,av_1_gul
107,abonnerbarhet..1,abonnerbar..1,PRIM..1,abonnerbarhet..nn.1,abonnerbarhet,nn,nn_0u_boskap
108,abonnering..1,abonnera..1,PRIM..1,abonnering..nn.1,abonnering,nn,nn_2u_mening
109,aboriginer..1,folk..4,Australien..1,aboriginer..nn.1,aboriginer,nn,nn_6u_akademiker
110,aboriginer..1,folk..4,Australien..1,aborigin..nn.1,aborigin,nn,nn_3u_karbid
111,aboriginsk..1,aboriginer..1,PRIM..1,aboriginsk..av.1,aboriginsk,av,av_0_medelstor
112,abort..1,bort..1,foster..1,abort..nn.1,abort,nn,nn_3u_karbid
113,abortera..1,abort..1,PRIM..1,abortera..vb.1,abortera,vb,vb_1a_beundra
114,abortera..2,abortera..1,göra..1,abortera..vb.1,abortera,vb,vb_1a_beundra
115,aborterande..1,abortera..1,PRIM..1,aborterande..nn.1,aborterande,nn,nn_5n_saldo
116,aborterande..2,abortera..2,PRIM..1,aborterande..nn.1,aborterande,nn,nn_5n_saldo
117,aborterbar..1,abortera..1,möjlig..1,aborterbar..av.1,aborterbar,av,av_1_gul
118,aborterbarhet..1,aborterbar..1,PRIM..1,aborterbarhet..nn.1,aborterbarhet,nn,nn_0u_boskap
119,abortering..1,abortera..1,PRIM..1,abortering..nn.1,abortering,nn,nn_2u_mening
